227,PFL,338.46M,11.84,1.07,-,11.74
229,PHK,982.66M,10.44,1.18,-,7.50
231,PMF,388.68M,13.62,1.14,-,15.05
233,PMM,394.62M,16.58,1.01,-,8.02
235,PMX,414.24M,12.87,1.12,-,12.54
237,PPT,563.34M,17.02,1.00,-,5.45
239,PTY,1.72B,12.89,1.29,-,18.91
242,TCPC,829.79M,4.24,1.04,10.36,14.10
244,VCV,607.89M,15.32,0.93,-,12.70
246,VKI,495.85M,13.57,0.91,-,11.17
248,VMO,836.61M,13.38,0.91,-,12.41
250,VTA,830.60M,-,-,-,11.21
252,WIA,351.36M,21.32,0.93,-,12.05
254,BCX,748.00M,-,-,-,8.02
256,BGR,342.99M,24.06,0.88,-,11.50
258,BME,436.35M,90.84,1.09,-,41.75
260,BTO,673.64M,31.05,1.09,-,36.04
241,RNP,1.12B,18.10,1.02,-,23.63
243,TEI,437.75M,10.12,0.83,-,9.12
245,VGM,694.08M,13.72,0.91,-,12.80
247,VKQ,681.54M,13.81,0.90,-,12.32
249,VPV,312.88M,13.83,0.92,-,13.13
251,VVR,752.55M,10.55,0.88,-,4.18
253,WIW,701.17M,18.55,0.91,-,11.46
255,BDJ,1.82B,36.99,1.11,-,9.72
257,BIF,1.22B,44.28,0.93,-,11.80
259,BST,738.20M,-,-,-,32.85
262,BXMX,1.43B,48.49,1.04,-,13.77
264,CEM,844.28M,-,-,-,11.99
266,CII,759.33M,52.99,1.13,-,17.21
268,DIAX,644.98M,41.25,1.00,-,17.86
270,DPG,580.33M,-,-,-,15.30
272,EOI,618.17M,59.21,1.05,-,15.75
274,ETB,431.68M,51.06,1.10,-,16.25
276,ETO,394.40M,27.64,1.10,-,25.97
278,ETY,1.87B,55.85,1.03,-,12.46
280,FEI,570.67M,-,-,-,12.14
261,BUI,384.71M,-,-,-,22.57
263,CCD,522.75M,-,-,-,21.40
265,CHW,519.14M,18.77,1.06,-,8.77
267,CTR,339.46M,-,-,-,8.84
269,DNP,3.85B,31.24,1.30,-,12.92
271,EMO,629.65M,-,-,-,8.78
273,EOS,880.71M,117.50,1.08,-,17.98
275,ETG,1.41B,18.51,1.05,-,18.51
277,ETV,1.26B,67.66,1.06,-,15.00
279,EVT,1.85B,26.16,1.06,-,25.38
282,FOF,363.79M,-,-,-,13.37
284,GDV,1.81B,31.74,0.93,-,21.89
286,GPM,384.11M,36.97,1.02,-,7.98
288,HQH,909.20M,119.62,1.04,-,21.23
290,JRI,501.59M,-,-,-,18.26
292,KYN,1.84B,34.94,0.93,-,14.54
294,PEO,481.65M,26.37,0.82,-,16.32
296,RFI,375.92M,34.19,1.06,-,14.38
298,RQI,1.62B,24.87,1.06,-,14.87
300,THQ,793.18M,-,-,-,19.13
281,FFA,336.83M,47.33,1.06,-,16.86
283,GAB,1.57B,42.94,1.04,-,6.13
285,GER,356.84M,-,-,-,4.49
287,GUT,408.39M,38.06,1.52,-,7.60
289,HQL,409.36M,167.73,1.07,-,17.66
291,KMF,510.49M,-,-,-,10.78
293,NFJ,1.23B,32.88,0.93,-,13.00
295,QQQX,929.03M,-,-,-,23.84
297,RMT,354.54M,67.25,0.92,-,8.59
299,RVT,1.44B,69.76,0.95,-,14.89
302,TPVG,356.00M,5.13,1.06,-,14.30
304,TYG,1.00B,39.59,0.92,-,18.72
306,UTF,2.24B,23.51,0.99,-,26.21
308,AOD,944.05M,12.02,0.94,-,8.95
310,BGY,627.96M,27.04,0.94,-,5.84
312,ETW,1.11B,40.58,1.00,-,10.29
314,IGD,614.50M,26.09,0.94,-,6.33
316,MGU,314.20M,12.38,0.98,-,25.20
318,ADTN,470.89M,0.85,1.19,3.76,9.80
320,HPE,20.85B,0.72,1.22,5.55,15.96
301,THW,419.17M,-,-,-,13.90
303,TY,1.53B,24.49,0.94,-,28.32
305,USA,1.38B,61.04,1.01,-,6.76
307,UTG,1.80B,24.80,1.07,-,36.97
309,AWP,556.86M,41.38,0.98,-,6.52
311,BOE,741.67M,26.87,0.93,-,11.02
313,EXG,2.69B,-,-,-,8.87
315,IGR,919.90M,24.01,0.91,-,7.89
317,TDF,648.99M,35.38,0.88,-,19.17
319,GILT,432.16M,1.70,1.90,8.14,7.84
322,JNPR,8.17B,1.85,1.80,3.64,24.49
324,CODI,1.58B,1.04,1.87,5.53,26.20
326,IEP,13.07B,1.58,1.96,3.37,62.63
328,AGM,885.53M,1.41,1.74,1.51,84.74
330,CIT,4.32B,2.13,0.76,1.13,45.99
332,IX,21.77B,1.04,0.78,2.15,82.89
334,OCSL,768.24M,5.20,0.83,-,5.45
336,SLMBP,23.85B,17.82,8.31,-,54.75
338,NTAP,14.54B,2.52,27.42,4.87,62.52
340,WDC,18.59B,1.19,1.94,-,62.80
321,ITRN,590.13M,2.13,3.52,10.44,25.08
323,NOK,20.42B,0.79,1.27,3.50,3.62
325,GMRE,562.05M,8.69,1.75,200.73,13.08
327,SCCO,33.83B,4.75,4.90,17.47,43.19
329,BBDC,515.95M,6.99,0.90,40.31,10.35
331,FINV,749.42M,0.91,0.69,2.98,2.40
333,NAVI,3.11B,1.85,0.96,1.96,13.83
335,QIWI,1.18B,1.94,2.63,1.99,19.04
337,YRD,461.72M,0.35,1.11,1.23,4.99
339,STX,15.94B,1.60,9.01,8.93,59.92
342,M,5.13B,0.20,0.85,17.03,16.54
344,BIG,1.11B,0.21,1.44,18.01,28.22
346,CCOI,3.00B,5.58,-,7.57,65.42
348,HPQ,29.69B,0.51,-,6.54,20.69
350,NTP,329.55M,126.75,1.52,4.93,8.52
